tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",AGO1,26523,89,0,0.0,0,0.0,2,0.0224719101123595,32,0.3595505617977528,0,0.0,34,0.3820224719101123,34,0.3820224719101123,0,34,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",AGO2,27161,89,0,0.0,2,0.0224719101123595,37,0.4157303370786517,13,0.146067415730337,0,0.0,52,0.5842696629213483,52,0.5842696629213483,0,52,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",AGO3,192669,89,2,0.0224719101123595,0,0.0,2,0.0224719101123595,32,0.3595505617977528,0,0.0,34,0.3820224719101123,36,0.4044943820224719,2,34,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",AGO4,192670,89,0,0.0,0,0.0,2,0.0224719101123595,32,0.3595505617977528,0,0.0,34,0.3820224719101123,34,0.3820224719101123,0,34,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",DGCR8,54487,89,1,0.0112359550561797,2,0.0224719101123595,5,0.0561797752808988,42,0.4719101123595505,2,0.0224719101123595,51,0.5730337078651685,52,0.5842696629213483,1,51,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",DICER1,23405,89,1,0.0112359550561797,1,0.0112359550561797,23,0.2584269662921348,16,0.1797752808988764,0,0.0,40,0.449438202247191,41,0.4606741573033708,1,40,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",DROSHA,29102,89,2,0.0224719101123595,2,0.0224719101123595,58,0.651685393258427,6,0.0674157303370786,0,0.0,66,0.7415730337078652,66,0.7415730337078652,0,64,2
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",LIN28A,79727,89,0,0.0,0,0.0,3,0.0337078651685393,34,0.3820224719101123,1,0.0112359550561797,38,0.4269662921348314,38,0.4269662921348314,0,38,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",LIN28B,389421,89,0,0.0,0,0.0,18,0.2022471910112359,18,0.2022471910112359,1,0.0112359550561797,37,0.4157303370786517,37,0.4157303370786517,0,37,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PRKRA,8575,89,0,0.0,0,0.0,14,0.1573033707865168,16,0.1797752808988764,0,0.0,30,0.3370786516853932,30,0.3370786516853932,0,30,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",SMAD2,4087,89,0,0.0,0,0.0,3,0.0337078651685393,36,0.4044943820224719,0,0.0,39,0.4382022471910112,39,0.4382022471910112,0,39,0
